Sr.No,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
203,06 November 2015,Soothe Healthcare,affordable Personal Healthcare Products,Noida,Saina Nehwal,Seed Funding,N/A,2nd seed funding
204,06 November 2015,Yuvi Hospitality,Premium dining Lounges & restaurants,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,"1,50,00,000",Series A
205,09 November 2015,AppVirality,Mobile Growth HackingPlatform,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,  Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,"5,00,000",Pre-Series A
206,09 November 2015,iStar Skill Development,Skill Training Startup,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,"15,00,000",Series A
207,09 November 2015,BigStylist.com,Beauty and Wellness Marketplace,Mumbai,Info Edge,Private Equity,"10,00,000",Pre-Series A
208,09 November 2015,Zilingo,Marketplace App for Bangkok,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,"19,00,000",Series A
209,09 November 2015,Didi,On-demand Maids Service Provider,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,"1,50,000",
210,09 November 2015,Skoov.com,eCommerce Product Search Engine,Mumbai,undisclosed investor,Seed Funding,"1,50,000",
211,10 November 2015,Chefs Basket,Ready to cook packaged Foods,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,"60,00,000",Series A
212,11 November 2015,Gingercrush,Product Customization Platform,Vadodara,TV Mohandas Pai’s family office,Seed Funding,N/A,
213,11 November 2015,Delight Foods,Branded Food products online sales,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,"6,00,000",Series A
214,11 November 2015,6Degree,Talent platform for Fashion professionals,Goa/Hyderabad,"Centre For Incubation & Business Acceleration (CIBA), Goa",Seed Funding,N/A,
215,11 November 2015,RenewBuy,Auto Insurance Online platform,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,"5,00,000",
216,11 November 2015,Grab,Hyperlocal Logistics Service Provider,Mumbai,Sixth Sense Ventures,Seed Funding,N/A,
217,12 November 2015,Hitwicket,Cricket Management Mobile Game,Hyderabad,Chennai Angels,Seed Funding,"2,50,000",
218,13 November 2015,Flashdoor,On Demand Laundry Service platform,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,N/A,
219,16 November 2015,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,Gurgaon,Kalaari Capital,Private Equity,"37,00,000",Series A
220,16 November 2015,Absentia,Virtual Reality Headset creator,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,"1,80,000",
221,16 November 2015,Renowala,Home Improvement Service platform,Hyderabad,Logtally,Seed Funding,N/A,
222,16 November 2015,TaskBucks,mobile-only tasks marketplace,New Delhi,Times Internet,Private Equity,"1,50,00,000",Strategic Investment
223,17 November 2015,CraftsVilla,Women Ethnic Wear  Online Marketplace,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,"3,40,00,000",Series C
224,17 November 2015,Julia Computing,Numerical Computing & Data Science Platform,Bangalore,Gordon and Betty Moore Foundation,Seed Funding,"6,00,000",
225,17 November 2015,StyleTag,Designer fashion Jewellery Marketplace,Bangalore,Jitu Virwani,Seed Funding,"75,00,000",
226,17 November 2015,Smytten,Online Products Discovery Platform,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,"2,00,000",
227,17 November 2015,BiBox,Kids Tool kit for Innovation platform,Bangalore,Ravi Krishnamurthy,Seed Funding,"5,30,000",
228,17 November 2015,Convegenius,Mobile Learning Solutions,Noida / Singapore,Enablers platform,Seed Funding,"3,00,000",
229,18 November 2015,Ola,Car Aggregator & Retail Mobile App,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,"50,00,00,000",Series F (More Details Here)
230,18 November 2015,Goodbox,conversational commerce mobile app,Bangalore,Nexus Venture Partners,Private Equity,"25,00,000",Series A
231,18 November 2015,ScoopWhoop,Viral Content web Platform,New Delhi,Kalaari Capital,Private Equity,"40,00,000",Series A
232,18 November 2015,Hipship,Express local delivery platform,Bangalore,"Inara Capital , Rishi Khiani",Seed Funding,N/A,
233,18 November 2015,Pickrr,On-Demand Local Logistics provider,New Delhi,Palaash Ventures,Seed Funding,N/A,
234,18 November 2015,Truelancer,Curated Freelancer Marketplace,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,N/A,
235,19 November 2015,AHA Taxis,Online Taxi Rental Platform,Noida,ah! Ventures,Seed Funding,N/A,
236,19 November 2015,UrbanClap,Mobile Services Marketplace,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,"2,50,00,000",Series B
237,19 November 2015,SenseGiz,Smartwatch Maker,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,"5,00,000",
238,19 November 2015,PlaceofOrigin,Online Gourmet Food Marketplace,Bangalore,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,  Ganapathy Venugopal.",Seed Funding,N/A,
239,19 November 2015,Fourseven,Online Jewellery etailer,New Delhi,Indian Angel Network,Seed Funding,"4,55,000",
240,20 November 2015,MindTickle,Sales & Productivity Software,Pune / US,New Enterprise Associates,Private Equity,"1,25,00,000",Series A
241,20 November 2015,Shopsense,ecommerce related software product platform,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,N/A,Pre-Series A
242,20 November 2015,Medinfi,Health-Tech platform,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,"3,05,000",
243,20 November 2015,OUWT,Nightlife Discovery Mobile App,Mumbai,Undisclosed investors,Seed Funding,"1,50,000",
244,20 November 2015,HeyPillow,Online Real Estate Marketplace,Bangalore,Hampton Capital,Private Equity,"30,00,000",Series A
245,21 November 2015,Healers At Home,"Home Healthcare Services platform,",New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,N/A,
246,21 November 2015,Caravan Craft,Indian Ethnic Crafts Etailer,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,"12,00,000",Series A
247,21 November 2015,Talkoot,Social platform for traders and investors,Bangalore,Undisclosed investors,Seed Funding,"1,00,000",
248,23 November 2015,RentoMojo,"Online Furniture, Home Appliances Rental Platform",Bangalore,"IDG Ventures India,  Accel Partners India",Private Equity,"20,00,000",Series A
249,23 November 2015,Medikoe,Healthcare Services Discovery platform,Bangalore,Anil Menon,Seed Funding,"1,00,000",
250,24 November 2015,Stylofie,Health and Beauty Services Marketplace,Gurgaon,Swastika,Seed Funding,"2,50,000",
251,24 November 2015,ServX,Automotive Services platform,New Delhi,Manish Gupta,Seed Funding,N/A,
252,24 November 2015,Naaptol,Online and TV Shopping Marketplace,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,"5,20,00,000",Late Stage
253,24 November 2015,Crayon Data,Big Data Analytics Platform,Chennai/ Singapore,Ratan Tata,Private Equity,N/A,N/A
254,25 November 2015,EarlySalary.com,Mobile App based Loan disbursement platform,Mumbai,Ashok Agarwal,Seed Funding,"15,00,000",
255,25 November 2015,Tooler,On Demand Laundry Services App,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,"1,10,000",
256,25 November 2015,S Chand,Education Content Provider,New Delhi,IFC Everstone Group,Private Equity,"2,70,00,000",N/A
257,26 November 2015,Stelae,Content Management Software Solutions,Chennai,Earlsfield Capital,Private Equity,N/A,Pre-Series A
258,26 November 2015,GoQii,Fitness Tracking Management Solutions,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,"1,34,00,000",Series B
259,26 November 2015,Grofers,Hyper-local Grocery Delivery platform,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,"12,00,00,000",Late Stage
260,26 November 2015,Pluss,Hyperlocal healthcare product Delivery Service provider,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,"10,00,000",Pre-Series A
261,26 November 2015,KountMoney,Online Lending Marketplace,Bangalore,"Tracxn, Ashish Goenka & Others",Seed Funding,N/A,
262,27 November 2015,StayGlad,On Demand Beauty Services Platform,Bangalore,"Bessemer Venture Partners, Anil Chopra",Private Equity,N/A,Series A
263,27 November 2015,JustRide,Self Driven Rental Car Platform,Mumbai,N/A,Private Equity,"20,00,000",Pre-Series A bridge round
264,27 November 2015,Fastudent,Education Content etailer,Noida,Ashish Gupta,Seed Funding,N/A,
265,27 November 2015,LearnOn,Clud based Learning platform,Chennai,JMR Infotech India Pvt Ltd,Seed Funding,N/A,
266,27 November 2015,Talentrack,Talent Exchange & Talent Services Marketplace,New Delhi,Unigrowth Inc,Seed Funding,N/A,
267,28 November 2015,M-TAXI,Two-Wheeler Taxi Service,Gurgaon,"Mandeep Singh, Jairaj Singh",Seed Funding,N/A,
268,30 November 2015,Baxi,Two-Wheeler Taxi Service,Gurgaon,"Manish Kheterpal, Alok Mittal,  Puneet Dalmia,",Seed Funding,"14,50,000",
269,30 November 2015,Superhero Brands,character merchandize sales platform,Mumbai,DSG Consumer Partners,Seed Funding,"5,40,000",
270,30 November 2015,MoMagic,Mobile Application Developer,New Delhi,FIH Mobile Ltd,Private Equity,N/A,Strategic Investment
271,30 November 2015,QikPod,Ecommerce Delivery locker services,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,"90,00,000",Series A
272,30 November 2015,Butterfly Interactive,extra curricular activities marketplace app,New Delhi,Undisclosed investors,Seed Funding,N/A,
273,30 November 2015,Bro4U,Hyperlocal Online Home services provider,Bangalore,Sargod Ventures,Seed Funding,N/A,
274,01 May 2015,Foodpanda,Online Food Delivery,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,"10,00,00,000",Series D
275,01 May 2015,Termsheet,Fund Raising Platform,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"1,00,000",
276,04 May 2015,Applicate,Workforce Management Software,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"5,50,000",
277,04 May 2015,World Art Community,Online Art Marketplace,Gurgaon,Viraj Tyagi & others,Seed Funding,"2,00,000",
278,04 May 2015,SpoonJoy,Online Food Delivery,Bangalore,SAIF Partners,Seed Funding,"10,00,000",
279,05 May 2015,Seed Schools,Affordable Education,Hyderabad,Acumen Fund,Seed Funding,"6,50,000",
280,05 May 2015,Ignis Careers,Career Development,Hyderabad,Acumen Fund,Seed Funding,"2,50,000",
281,05 May 2015,Square Yards,Real Estate Advisory,Gurgaon,Undisclosed Investors,Private Equity,"60,00,000",pre-Series A
282,05 May 2015,Fintellix,Banking Analytics Platform,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,"1,50,00,000",Series C
283,05 May 2015,Customer360,Customer Engagement Platform,Mumbai,Vishwas Patel,Seed Funding,N/A,
284,06 May 2015,Delhivery,Ecommerce Logistics,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"8,50,00,000",Series D
285,06 May 2015,Swiggy,Online Food Delivery,Bangalore,Norwest Venture Partners,Private Equity,"1,50,00,000",Series B
286,07 May 2015,Uniphore,Speech Recognition Solutions,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,N/A,Series A
287,07 May 2015,Box8,Online Food Delivery,Mumbai,Mayfield Ventures,Private Equity,"35,00,000",Series A
288,07 May 2015,Toppr,Online Education Platform,Mumbai,"Fidelity Growth Partners India, SAIF Partners,  Helion Ventures",Private Equity,"1,00,00,000",Series B
289,07 May 2015,Vedantu,Online Education Platform,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"50,00,000",Series A
290,08 May 2015,BuyHatke,Online Product Comparison,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,"10,00,000",
291,08 May 2015,KleverKid,Online Education Platform,New Delhi,Aarin Capital Partners,Seed Funding,N/A,
292,08 May 2015,Uniken,Online Security Platform,Pune,Exfinity Ventures,Private Equity,"20,00,000",Bridge Round Pre-Series B
293,08 May 2015,GrandOpinion,Online Medical Diagnostic,New Delhi,Florida based Angel investor,Seed Funding,"1,50,000",
294,08 May 2015,HealthifyMe,Health & Fitness App,Bangalore,Micromax Informatics,Private Equity,N/A,Strategic Investment
295,12 May 2015,ZapStitch,Cloud Data Integration Platform,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"20,00,000",Pre-Series A
296,12 May 2015,Wassup,Mobile Laundry Cleaning Service,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"20,00,000",Pre-Series A
297,12 May 2015,Mobiefit,Mobile Fitness App,Goa,Prototyze,Seed Funding,N/A,
298,12 May 2015,Plancess,Online Education Platform,Mumbai,"Rajendra Gogri,  Chandrakant Gogri",Seed Funding,"20,00,000",
299,12 May 2015,WorkHorse,Service-On-Demand Mobile App,Mumbai,Undisclosed Investors,Seed Funding,N/A,
300,13 May 2015,Innovaccer,Intelligent Data Analytics,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,N/A,
301,13 May 2015,MyCuteOffice,Online Office Rental,Mumbai,Lead Angels,Seed Funding,N/A,
302,14 May 2015,IndianRoots.com,Lifestyle Ecommerce Portal,Gurgaon,KJS Group,Private Equity,"50,00,000",Series B
303,14 May 2015,RedPolka,Online Fashion Aggregator,Mumbai,Undisclosed Investors,Seed Funding,"2,50,000",
304,15 May 2015,Venturesity,Online Job skills Showcase,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"2,70,000",
305,18 May 2015,TheBetterIndia.com,Online News Media,Bangalore,Mohandas Pai,Seed Funding,N/A,Pre-Series Bridge
306,18 May 2015,Awaaz De,Enterprise Communication Platform,Ahmedabad,Samir Shah,Seed Funding,N/A,
307,19 May 2015,Chaayos,Offline Tea Chain,New Delhi,Tiger Global Management,Private Equity,"10,00,000",Series A
308,19 May 2015,Akosha,Business Messaging App,New Delhi,Sequoia Capital,Private Equity,"1,60,00,000",Series B
309,19 May 2015,Cooey,Health Mobile App,Bangalore,Subhash Goyal,Seed Funding,"4,70,000",
310,19 May 2015,MeetUniv,Online Ed-Tech Platform,Noida,Peesh Venture Capital,Seed Funding,"10,00,000",
311,19 May 2015,Inspirock,Online Travel Planning,,MakeMyTrip Innovation Fund,Private Equity,N/A,
312,19 May 2015,Crown-it,Hyperlocal Mobile Marketplace,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,"55,00,000",Series A
313,19 May 2015,Trucksfirst,Trucking Logistic Operations,Gurgaon,SAIF partners,Private Equity,"1,00,00,000",Series A
314,20 May 2015,Lookup,B2C Messaging App,Bangalore,Biz Stone,Private Equity,"30,00,000",Series A
315,21 May 2015,SunTerrace,Rooftop Solar Plants,New Delhi,Sunergy Investors,Private Equity,N/A,
316,22 May 2015,Nudgespot,Customer Engagement Platform,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"6,25,000",
317,22 May 2015,CarDekho,Online Car Portal,Jaipur,HDFC Bank,Private Equity,N/A,1% stake
318,22 May 2015,EveningFlavors,Online Table Reservation,Bangalore,Sandiep Shrivatsava,Seed Funding,"5,00,000",
319,25 May 2015,Razorpay,Online Payment Gateway,Bangalore,Punit Soni,Seed Funding,N/A,
320,25 May 2015,ZenParent,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,"5,00,000",
321,25 May 2015,Newgen Payments,Payments Solution Provider,New Delhi,Jan Manten,Seed Funding,N/A,
322,26 May 2015,UrbanPro,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,"20,00,000",Series A
323,26 May 2015,Goodbox,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,"2,00,000",
324,26 May 2015,Renderlogy,Online Home Décor,Hyderabad,Astarc Ventures,Private Equity,"10,00,000",Series A
325,27 May 2015,Postman,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,"10,00,000",Series A
326,27 May 2015,Casa2inns,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"50,00,000",Series A
327,27 May 2015,FleetRover,Logistics Intelligence,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"1,80,000",
328,28 May 2015,TheKarrier,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"2,40,000",
329,28 May 2015,Zoomcar,Self-driven Car rental,Bangalore,Sequoia Capital,Private Equity,"50,00,000",Series B Interim Funding
330,28 May 2015,Truweight,Weight Management Service,Hyderabad,Kalaari Capital,Private Equity,N/A,Series A
331,30 May 2015,Ather Energy,Electric Scooter Manufacturer,Bangalore,Tiger Global,Private Equity,"1,20,00,000",Series A
332,02 March 2015,TrulyMadly.com,"Helion Venture Partners, Kae Capital",Private Equity,"55,00,000",Series A,,
333,02 March 2015,InstaLively,Group of Angel Investors,Seed Funding,"1,20,000",,,
334,03 March 2015,Vserv,"Maverick Capital, IDG Ventures India",Private Equity,"1,50,00,000",,,
335,03 March 2015,Intruo.com,"Ashutosh Lawania, Alok Goel & others",Seed Funding,N/A,,,
336,05 March 2015,Niffler,SAIF Partners,Seed Funding,"10,00,000",,,
337,05 March 2015,CustomFurnish.com,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,"25,00,000",,,
338,06 March 2015,MapMyGenome,Rajan Anandan & other angel investors,Private Equity,"12,00,000",,,
339,09 March 2015,Crowdfire(formerly Justunfollow),Kalaari Capital,Private Equity,"25,00,000",,,
340,09 March 2015,Bite Club,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,"5,00,000",,,
341,10 March 2015,Localbanya,Shrem Strategies,Private Equity,N/A,Series B,,
342,11 March 2015,Appedo,Undisclosed Investors,Seed Funding,"10,00,000",,,
343,11 March 2015,Fitraq.com,Tarun Arora,Seed Funding,"1,50,000",,,
344,11 March 2015,ChargeBee,"Tiger Global, Accel Partners",Private Equity,"50,00,000",Series B,,
345,11 March 2015,Groupon India,Sequoia Capital,Private Equity,"2,00,00,000",,,
346,12 March 2015,Process 9,"IAN Ventures, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, Ajai Chowdhry",Seed Funding,N/A,,,
347,12 March 2015,MoonFrog Labs,"Tiger Global, Sequoia Capital.",Private Equity,"1,50,00,000",Series A,,
348,13 March 2015,Foodpanda,Rocket Internet AG & others,Private Equity,"11,00,00,000",Series C,,
349,13 March 2015,Paytm,Ratan Tata,Private Equity,N/A,More details,,
350,13 March 2015,DiabetOmics,"VentureEast,  Varaprasad Reddy",Private Equity,"50,00,000",Series C,,
351,13 March 2015,Qyk,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,N/A,,,
352,14 March 2015,Daily Rounds,"Kae Capital, GSF, Teruhide Sato",Seed Funding,"5,00,000",,,
353,14 March 2015,Orobind,"Zishaan Hayath, Lalit Mangal, Harpreet Singh Grover",Seed Funding,"2,00,000",,,
354,14 March 2015,Routofy,"Kunal Bahl, Rohit Bansal",Seed Funding,N/A,,,
355,16 March 2015,Digital Gorkha,Ramesh kavediya,Seed Funding,"1,66,000",,,
356,16 March 2015,NestAway,"IDG Ventures, Naveen Tewari",Seed Funding,"13,00,000",,,
357,16 March 2015,The Better India,I-cube-N,Seed Funding,"1,66,000",,,
358,16 March 2015,Meru Cabs,Value Fund Advisors,Private Equity,"5,00,00,000",,,
359,17 March 2015,GolfLAN,YourNest Angel Fund,Seed Funding,N/A,,,
360,18 March 2015,Drivestream,Wipro,Private Equity,"50,00,000",,,
361,18 March 2015,wWhere,Group of Angel Investors,Seed Funding,"2,00,000",,,
362,18 March 2015,GoJavas,Snapdeal,Private Equity,N/A,"Minority stake, Strategic",,
363,19 March 2015,Tripoto,"IDG Ventures, Outbox Ventures",Private Equity,"20,00,000",Pre-Series A,,
364,19 March 2015,Graphic India,"CA Media LP,  Start Media.",Seed Funding,"28,00,000",,,
365,20 March 2015,Harness Handitouch,Armat Group,Private Equity,N/A,Series A,,
366,20 March 2015,Lets Corp,Wu Chay Chin,Seed Funding,"30,00,000",,,
367,20 March 2015,CollateBox,LetsVenture,Seed Funding,"1,80,000",,,
368,20 March 2015,Mahindra First Choice,Valiant Capital,Private Equity,"1,50,00,000",Series B,,
369,21 March 2015,Round One,"HT Media, Arun Duggal",Seed Funding,N/A,,,
370,23 March 2015,RazorPay,Y Combinator,Seed Funding,"1,20,000",,,
371,23 March 2015,Mosambee,RVCF and SIDBI,Private Equity,N/A,Series B,,
372,24 March 2015,Furlenco,LightBox Ventures,Private Equity,"60,00,000",Series A,,
373,24 March 2015,Cubito,Sol Primero,Seed Funding,"1,60,000",,,
374,25 March 2015,Teabox,"JAFCO Asia, Keystone Group, Dragoneer Investment, Accel Partners",Private Equity,"60,00,000",Series A,,
375,25 March 2015,Artoo,"Accion Venture Labs, Rianta Capital",Private Equity,"5,00,000",Series A,,
376,25 March 2015,Fxkart.com,"Dr Mushtaq Shah, Dr Faraz Naqvi",Seed Funding,"20,00,000",,,
377,25 March 2015,Rozgar Mela,"Impact Investment Holding, Upaya Social Ventures",Seed Funding,N/A,,,
378,25 March 2015,OYO Rooms,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",Private Equity,"2,50,00,000",Series A,,
379,26 March 2015,Roposo.com,"Tiger Global Management, Indian Quotient, Binny Bansal",Private Equity,"50,00,000",Series A,,
380,26 March 2015,Teewe,"Sequoia Capital, India Quotient",Seed Funding,"17,50,000",,,
381,26 March 2015,ePoise,Undisclosed,Seed Funding,N/A,,,
382,27 March 2015,Urjas,Solidarity Venture Capital & others,Seed Funding,"1,00,000",,,
383,27 March 2015,Chargein,Pittie Group,Seed Funding,"1,00,000",,,
384,28 March 2015,Yogurt Labs,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,"1,15,000",,,
385,28 March 2015,LimeRoad.com,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,"3,00,00,000",,,
386,28 March 2015,Team Indus,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",Private Equity,"15,00,000",Pre-Series A,,
387,30 March 2015,Arohan Financial Services,Tano Capital,Private Equity,"1,00,00,000",,,
388,30 March 2015,BillDesk,TA Associates,Private Equity,"7,50,00,000",Incremental Capital,,
389,31 March 2015,Triphobo,"Mayfield Ventures, Kalaari Capital",Private Equity,"30,00,000",Series B (More Here),,
390,31 March 2015,Aryaka,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,"1,60,00,000",Series D,,
391,31 March 2015,Appsdaily,"Zodius Capital, Ru-Net, Kalaari Capital,  Qualcomm Ventures",Private Equity,"1,60,00,000",Series C,,
392,01 June 2015,Vyomo,Beauty and Wellness Platform,New Delhi,Aprameya Radhakrishna,Seed Funding,N/A,
393,01 June 2015,Veeba Foods,Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,"60,00,000",Series B
394,01 June 2015,Truebil,Used Car Marketplace,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"5,00,000",
395,01 June 2015,Meritnation,Online Learning Platform,New Delhi,InfoEdge,Private Equity,"40,00,000",Series C
396,01 June 2015,Eattreatonline,Healthy Food Online Community,New Delhi,Group of 15 Angel Investors,Seed Funding,"3,50,000",
397,01 June 2015,CredR,Used two-wheeler Marketplace,Mumbai,GrowthStory,Seed Funding,N/A,
398,01 June 2015,Glamrs,Online Fashion Video Portal,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"10,00,000",Pre-Series A
399,01 June 2015,Proviera,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,"5,50,000",
400,01 June 2015,Arth DesignBuild,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,"5,00,000",
401,02 June 2015,Saama,Big Data & Analytics Services,Pune / US,Carrick Capital Partners,Private Equity,"3,50,00,000",Series A
402,02 June 2015,AllIzHealth,Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors,Seed Funding,"3,50,000",
403,02 June 2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,Udaipur,Ennovent Impact Investment Holding,Private Equity,N/A,Series A
404,03 June 2015,Entropy Innovations,Engineering Innovations,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,N/A,
405,03 June 2015,Propstack,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,"30,00,000",Series A
406,03 June 2015,MyTaxiIndia,Online Car Rental Affiliates,New Delhi,Green House Ventures,Seed Funding,"1,00,000",
407,03 June 2015,Arkin Net,Data Center Software platform,Pune / US,Nexus Venture Partners,Private Equity,"1,50,00,000",Series B
408,03 June 2015,Little Black Book Delhi,Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"1,50,000",
409,03 June 2015,MyPoolin,P2P Payments platform,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,  Arjun Malhotra, Gautam Gandhi",Seed Funding,N/A,
410,03 June 2015,iCustomadeit,Bespoke Merchandize Marketplace,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,"2,50,000",
411,03 June 2015,KAARYAH,Women Lifestyle Marketplace,Gurgaon,Ratan Tata,Seed Funding,N/A,
412,04 June 2015,Ecom Express,Logistics Solution Provider,New Delhi,Warburg Pincus,Private Equity,"13,70,00,000",Series C
413,04 June 2015,Vidooly,Video Intelligence Platform,Noida,Bessemer Venture Partners,Private Equity,"10,00,000",Pre-Series A
414,04 June 2015,Zopper,Hyperlocal Shopping App,Mumbai,"Tiger Global,  Nirvana Ventures Advisors",Private Equity,"2,00,00,000",Series C
415,04 June 2015,Flipkart,eCommerce platform,Bangalore,Morgan Stanley,Private Equity,"5,00,00,000",Late Stage
416,05 June 2015,kWatt Solutions,Renewable energy solutions,Mumbai,N/A,Seed Funding,"5,00,000",
417,05 June 2015,Medwell Ventures,HealthcareService provider,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"1,00,00,000",Series A
418,05 June 2015,Jugnoo,Auto Rickshaw Based Services,Chandigarh,"Snow Leopard, Paytm",Private Equity,"50,00,000",Series A
419,08 June 2015,PosterGully,Artist / Designer Marketplace,New Delhi,"Natarajan Iyer,Rajesh Sawhney,  & other Angel investors.",Seed Funding,N/A,
420,08 June 2015,Applied Solar Technologies,Off-grid Solar Power,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"4,00,00,000",Series B
421,09 June 2015,Clovia,Private Label lingerie Ecommerce,New Delhi,IvyCap Ventures,Private Equity,"50,00,000",Series A
422,09 June 2015,Swiggy,Online Food Ordering,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"1,65,00,000",Series B
423,09 June 2015,PayMango,Mobile Commerce Platform,Gurgaon,Group of Angel Investors,Seed Funding,"2,34,000",
424,09 June 2015,Printland,Online Printing Services,New Delhi,SIDBI Venture Capital Ltd,Private Equity,N/A,Series A
